timestamps,time_from_start,reaction_times

2022-04-30 19:29:37,1.3918302059173584,0.5174920558929443
2022-04-30 19:29:40,4.328636169433594,0.3048276901245117
2022-04-30 19:29:41,5.774011135101318,0.3166358470916748
2022-04-30 19:29:44,8.491222143173218,0.2674679756164551
2022-04-30 19:29:46,10.54137110710144,0.3001108169555664
2022-04-30 19:29:47,11.92546820640564,0.2846031188964844
2022-04-30 19:29:50,14.825405359268188,0.2841348648071289
2022-04-30 19:29:53,17.859389305114746,0.35037803649902344
2022-04-30 19:29:55,19.792436361312866,0.45029115676879883
2022-04-30 19:29:59,23.160478353500366,0.6009280681610107
2022-04-30 19:30:01,25.410508155822754,0.3176450729370117
2022-04-30 19:30:04,28.29460620880127,0.3510901927947998
2022-04-30 19:30:07,31.027343273162842,0.36675214767456055
2022-04-30 19:30:08,32.61147117614746,0.38420796394348145
2022-04-30 19:30:10,34.44565415382385,0.35093116760253906
2022-04-30 19:30:12,36.26199507713318,0.3841249942779541
2022-04-30 19:30:15,39.38601613044739,0.34072184562683105
