%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
122.0, 3531.8438448719794, 11477.531370822355, 5185.045920019856, -1739.8150849121912, -2301.9391062187083, 7748.321622410014, -3201.7309310115497, 10292.08425189069, 8467.15372409269, -185.7876999125123, -16550.32683018766, 11862.070782431458, 4696.526193204665, -20057.91903232563, -201.18805184221887, -4814.364589973044, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638446234656396E9, 0.0, 2021-12-02 12:57:14.656
124.0, 3561.594016741993, 11536.42821746209, 5211.1751092881095, -1705.4381019399289, -2271.9430651596863, 11266.441496186435, -3156.558055467374, 10351.964575286458, 8679.115316762367, -297.1664425333074, -16686.605416131668, 11881.583855340941, 4899.144756692023, -20187.156818766216, -212.11805488086404, -3922.306468761739, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638446234656407E9, 0.0, 2021-12-02 12:57:14.656
126.0, 3616.4004941464063, 11535.020057561405, 5259.544284289394, -1649.46933382384, -2207.6817998506785, 4104.182613394572, -3126.271441730433, 10331.289211665298, 8462.795133923904, -167.16869678124152, -16537.072245725663, 11901.812184072995, 4726.835158686061, -20036.908392537644, -197.70117970719096, -4841.231386808323, 0.05, -0.032, 0.974, 192.0, 0.5, 72.0, 127.5, 0.0, 15.0, 56.0, 0.0, 0.0, 0.0, 1.6384462346564176E9, 0.0, 2021-12-02 12:57:14.656
128.0, 3510.185004494787, 11486.315606393291, 5162.8059342868255, -1762.367995067596, -2327.733019320133, 11998.394071864375, -3209.8893177377367, 10301.069653161723, 8604.03580713699, -263.57177061698087, -16647.33340112369, 11839.562575764963, 4800.5735636441195, -20152.533966604944, -211.20163335819643, -4241.534083072434, 0.05, -0.032, 0.974, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384462346564276E9, 0.0, 2021-12-02 12:57:14.656
130.0, 3632.9631367877887, 11570.827552178807, 5280.309054888375, -1626.5140922682397, -2188.5934100858462, 6284.5952850097765, -3098.5776303503076, 10372.058793551778, 8605.84629843787, -237.7108022821906, -16617.560877509222, 11906.438995175242, 4846.1934740774, -20126.114204658774, -204.56316525497024, -4253.693432056121, 0.05, -0.032, 0.974, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384462346564376E9, 0.0, 2021-12-02 12:57:14.656
132.0, 3531.217996027231, 11475.854989988207, 5181.603751373738, -1737.334041277652, -2298.720455017144, 7653.885502086342, -3202.133262411745, 10288.552676266752, 8467.421945026153, -180.28917077650678, -16548.583394120145, 11854.11356140537, 4699.901306617416, -20058.58958465929, -201.09864486439764, -4828.200319790879, 0.05, -0.032, 0.974, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638446234656448E9, 0.0, 2021-12-02 12:57:14.656
134.0, 3552.698022448781, 11529.052141791839, 5208.22467902001, -1708.5449944192167, -2275.318178572438, 11334.234337119382, -3158.8379334018155, 10345.683735094517, 8678.154191750788, -296.67470415529067, -16686.20308473147, 11872.73256453664, 4895.791995023727, -20193.705879891622, -212.74390372561263, -3927.87205313111, 0.05, -0.032, 0.974, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638446234656458E9, 0.0, 2021-12-02 12:57:14.656
136.0, 3605.492842852216, 11525.699380123542, 5256.66090925466, -1655.5043048267728, -2215.706076110134, 4084.893057929642, -3130.205348754567, 10337.257127434865, 8464.158590335679, -169.6497404157806, -16537.161652703482, 11889.608131600397, 4718.207385326313, -20047.190194987084, -197.70117970719096, -4839.711468185362, 0.052000000000000005, -0.036000000000000004, 0.974, 192.0, 0.5, 80.0, 127.0, 112.0, 15.0, 56.0, 0.0, 0.0, 0.0, 1.638446234656468E9, 0.0, 2021-12-02 12:57:14.656
138.0, 3495.030521754089, 11471.451696330512, 5152.904111493124, -1773.2085911284198, -2340.8087898264876, 11941.777103159084, -3224.239137678044, 10305.741167752883, 8600.236010579589, -268.0421195080423, -16652.809578515244, 11833.706418717673, 4794.1809647299015, -20158.635992841246, -211.04517114700928, -4257.448525124612, 0.052000000000000005, -0.036000000000000004, 0.974, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384462346564791E9, 0.0, 2021-12-02 12:57:14.656
140.0, 3620.9602500152887, 11561.104543340749, 5267.56856054885, -1636.2371011062983, -2198.696398579645, 6379.634902433741, -3102.667999585629, 10369.57774991724, 8605.17574610421, -245.98094773065424, -16627.708569491933, 11898.481774149153, 4843.287747298211, -20130.718664016567, -204.96549665516577, -4244.149237173705, 0.052000000000000005, -0.036000000000000004, 0.974, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384462346564891E9, 0.0, 2021-12-02 12:57:14.656
